feature,auc_type1,auc_type2,combined_auc
val_rmse,0.9882154882154882,0.9755916885810586,0.9819035883982734
mean_abs_diff,0.9219977553310886,0.8475869476647283,0.8847923514979085
slope,0.9890572390572391,0.7378421423015668,0.8634496906794029
slope_dev,0.9890572390572391,0.7274713878291789,0.858264313443209
max_jump,0.824354657687991,0.8747731397459165,0.8495638987169538
slope_consistency,0.9612794612794613,0.7173228638097707,0.8393011625446161
val_rmse_zscore,0.9677328843995512,0.7001370421126709,0.833934963256111
mean_ma_dev,0.989337822671156,0.6605800214822772,0.8249589220767166
final_pred,0.9879349046015714,0.6610985592058964,0.8245167319037339
mean_abs_div,0.9932659932659933,0.6484684617948813,0.8208672275304373
mono_rate,0.7174523007856342,0.9205711322641579,0.819011716524896
mono_violations,0.7174523007856342,0.9205711322641579,0.819011716524896
mean_rolling_var,0.9890572390572391,0.624726841734879,0.8068920403960591
late_div,0.9851290684624018,0.5915404274232379,0.7883347479428198
gap_ratio,0.957631874298541,0.5838734767954368,0.7707526755469889
max_abs_div,0.9837261503928171,0.5352050075928738,0.7594655789928455
div_growth_ratio,0.9579124579124579,0.5476869513685693,0.7527997046405136
mean_corr_with_others,0.9427609427609427,0.5043520130375199,0.7235564778992313
min_corr_with_others,0.9190516273849607,0.5250194451646357,0.7220355362747982
rank_in_experiment,0.9208754208754208,0.5203711248564762,0.7206232728659485
gap_zscore,0.8274410774410774,0.5918737731027075,0.7096574252718925
div_sign_cons,0.8120089786756454,0.5942812696766546,0.7031451241761499
early_div,0.75,0.5111670802622319,0.630583540131116
